Year,m,d,Time,Time zone,Maximum temperature (degC),Minimum temperature (degC)
2020,2,1,00:00,UTC,3,1.9
2020,2,2,00:00,UTC,4.9,2.4
2020,2,3,00:00,UTC,2.6,-0.4
2020,2,4,00:00,UTC,-0.2,-3.7
2020,2,5,00:00,UTC,2.5,-4.2
2020,2,6,00:00,UTC,2.4,-4.7
2020,2,7,00:00,UTC,1.2,-5.5
2020,2,8,00:00,UTC,2.7,0.2
2020,2,9,00:00,UTC,3.9,2.6
2020,2,10,00:00,UTC,4.9,3
2020,2,11,00:00,UTC,4.6,1.6
2020,2,12,00:00,UTC,4,0.4
2020,2,13,00:00,UTC,3.4,1.8
2020,2,14,00:00,UTC,2.1,-1.8
2020,2,15,00:00,UTC,3.2,0.5
2020,2,16,00:00,UTC,4.3,2.8
2020,2,17,00:00,UTC,5.4,3.8
2020,2,18,00:00,UTC,5.1,4.3
2020,2,19,00:00,UTC,4.5,3.3
2020,2,20,00:00,UTC,3.5,0.1
2020,2,21,00:00,UTC,4,1.9
2020,2,22,00:00,UTC,4.7,1.5
2020,2,23,00:00,UTC,5.1,3.1
2020,2,24,00:00,UTC,3.8,1.1
2020,2,25,00:00,UTC,1.8,-1.6
2020,2,26,00:00,UTC,1.3,-0.5
2020,2,27,00:00,UTC,0.2,-4
2020,2,28,00:00,UTC,0.4,-6.2
2020,2,29,00:00,UTC,2.2,-4.6
2020,3,1,00:00,UTC,3.8,0.4
2020,3,2,00:00,UTC,4.1,2.3
2020,3,3,00:00,UTC,2.9,1.6
2020,3,4,00:00,UTC,3,0.6
2020,3,5,00:00,UTC,3.6,2.5
2020,3,6,00:00,UTC,3.4,1.1
2020,3,7,00:00,UTC,2.9,-0.5
2020,3,8,00:00,UTC,3.3,-0.1
2020,3,9,00:00,UTC,3.8,2.8
2020,3,10,00:00,UTC,3.9,2.7
2020,3,11,00:00,UTC,3.6,2.8
2020,3,12,00:00,UTC,4.4,2.6
2020,3,13,00:00,UTC,3.4,0.5
2020,3,14,00:00,UTC,0.6,-3.5
2020,3,15,00:00,UTC,3.7,-2.2
2020,3,16,00:00,UTC,4.6,2.5
2020,3,17,00:00,UTC,4.1,-1
2020,3,18,00:00,UTC,4.2,2.8
2020,3,19,00:00,UTC,5.5,1
2020,3,20,00:00,UTC,4.8,-0.4
2020,3,21,00:00,UTC,1.4,-3.5
2020,3,22,00:00,UTC,1.5,-2.9
2020,3,23,00:00,UTC,3,0.3
2020,3,24,00:00,UTC,3.7,2
2020,3,25,00:00,UTC,4.5,3.1
2020,3,26,00:00,UTC,4.5,3.3
2020,3,27,00:00,UTC,4.5,2.8
2020,3,28,00:00,UTC,7,2.8
2020,3,29,00:00,UTC,5.1,-1.1
2020,3,30,00:00,UTC,1.5,-2.1
2020,3,31,00:00,UTC,2,-2.8