Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2021,10,1,00:00,UTC,0.2,-1,9.8,,11.2,8.2
2021,10,2,00:00,UTC,-1,-1,10.7,,12.2,9.2
2021,10,3,00:00,UTC,-1,-1,10.9,,13.1,8.8
2021,10,4,00:00,UTC,-1,-1,11.4,,13.5,9.1
2021,10,5,00:00,UTC,6.4,-1,10.6,,12.5,9.6
2021,10,6,00:00,UTC,0.2,-1,11.8,,13.7,9.9
2021,10,7,00:00,UTC,0.5,-1,11,,13.1,10
2021,10,8,00:00,UTC,0.6,-1,11.7,,12.9,10.5
2021,10,9,00:00,UTC,0.5,-1,11.8,,13.5,11.2
2021,10,10,00:00,UTC,0.2,-1,11.5,,12.7,10.7
2021,10,11,00:00,UTC,25.1,-1,10.4,,12.2,8.2
2021,10,12,00:00,UTC,0.3,-1,7.8,,10.6,5.6
2021,10,13,00:00,UTC,-1,-1,6.4,,9.7,3.9
2021,10,14,00:00,UTC,0.2,-1,6,,10,-0.4
2021,10,15,00:00,UTC,6.2,-1,8.6,,10.3,7.7
2021,10,16,00:00,UTC,0.8,-1,6.2,,9.4,3.8
2021,10,17,00:00,UTC,-1,-1,5.2,,8.8,3.5
2021,10,18,00:00,UTC,-1,-1,4.6,,6.7,1.6
2021,10,19,00:00,UTC,2.3,-1,2.6,,5.1,-1.9
2021,10,20,00:00,UTC,17.2,-1,8.5,,11.9,5
2021,10,21,00:00,UTC,11.7,-1,10.7,,12.6,9.8
2021,10,22,00:00,UTC,3.5,-1,6,,10.6,5
2021,10,23,00:00,UTC,0.1,-1,2.1,,5.1,1
2021,10,24,00:00,UTC,2.3,-1,2.2,,5.9,-3
2021,10,25,00:00,UTC,-1,-1,9.4,,10.5,5.9
2021,10,26,00:00,UTC,2.1,-1,8.7,,10.1,6.4
2021,10,27,00:00,UTC,5.5,-1,8.1,,9.7,6.6
2021,10,28,00:00,UTC,2.7,-1,8.2,,11.1,2.8
2021,10,29,00:00,UTC,-1,-1,10.2,,11.3,8.3
2021,10,30,00:00,UTC,-1,-1,8.9,,9.9,6.3
2021,10,31,00:00,UTC,-1,-1,8.7,,9.7,7.1
2021,11,1,00:00,UTC,-1,-1,8.8,,11.2,6.5
2021,11,2,00:00,UTC,-1,-1,7.4,,8.4,6
2021,11,3,00:00,UTC,7.4,-1,7.3,,7.9,6.6
2021,11,4,00:00,UTC,6.3,-1,7.8,,9.1,6.5
2021,11,5,00:00,UTC,10.5,-1,6.7,,8.7,5.2
2021,11,6,00:00,UTC,0.4,-1,4.7,,8,2.7
2021,11,7,00:00,UTC,4.7,-1,1.9,,4.3,-1.4
2021,11,8,00:00,UTC,-1,-1,0.9,,2.9,-1.1
2021,11,9,00:00,UTC,7.8,-1,-0.2,,4.9,-7
2021,11,10,00:00,UTC,3.1,-1,8.1,,9.6,4.3
2021,11,11,00:00,UTC,0.3,-1,6.2,,9.5,2.9
2021,11,12,00:00,UTC,-1,-1,5.7,,7.7,5.1
2021,11,13,00:00,UTC,-1,-1,1.3,,5.7,-2.1
2021,11,14,00:00,UTC,0.1,-1,0.3,,3.3,-2.2
2021,11,15,00:00,UTC,-1,-1,1,,3.9,-3.8
2021,11,16,00:00,UTC,0.9,-1,6.1,,7,3.9
2021,11,17,00:00,UTC,3.6,-1,5.6,,6.2,4.9
2021,11,18,00:00,UTC,2.8,-1,4.5,,6,2.7
2021,11,19,00:00,UTC,2,-1,2.8,,4,0.4
2021,11,20,00:00,UTC,-1,-1,3.7,,5.7,1.9
2021,11,21,00:00,UTC,-1,-1,-0.1,,3.8,-1.5
2021,11,22,00:00,UTC,1.6,-1,-3.4,,0.5,-5.4
2021,11,23,00:00,UTC,0.7,-1,0.3,,2.8,-5.8
2021,11,24,00:00,UTC,1.7,-1,2.6,,5.2,-1.9
2021,11,25,00:00,UTC,2.9,-1,4.6,,6.8,-1.1
2021,11,26,00:00,UTC,-1,-1,-1.7,,3.3,-4.4
2021,11,27,00:00,UTC,-1,-1,-7.1,,-4.3,-8.5
2021,11,28,00:00,UTC,-1,-1,-6.4,,-5.7,-7.2
2021,11,29,00:00,UTC,-1,2,-5.1,,-4.4,-6.3
2021,11,30,00:00,UTC,-1,2,-9,,-5.5,-10.1
2021,12,1,00:00,UTC,-1,2,-7.4,,-4.2,-11.1
2021,12,2,00:00,UTC,-1,2,-8.5,,-6.4,-12.6
2021,12,3,00:00,UTC,-1,2,-9.2,,-7.2,-11.3
2021,12,4,00:00,UTC,-1,2,-8.2,,-4.8,-12.3
2021,12,5,00:00,UTC,-1,2,-14.8,,-11.1,-16.7
2021,12,6,00:00,UTC,-1,2,-13.1,,-10.5,-16.9
2021,12,7,00:00,UTC,-1,2,-15.6,,-13,-17.6
2021,12,8,00:00,UTC,-1,2,-15.4,,-13.4,-17.9
2021,12,9,00:00,UTC,-1,2,-7,,-3.5,-14.2
2021,12,10,00:00,UTC,4.6,2,-2,,-0.8,-4.7
2021,12,11,00:00,UTC,4.6,2,0.3,,0.8,-0.8
2021,12,12,00:00,UTC,0.9,2,0.9,,1.3,0.4
2021,12,13,00:00,UTC,0.9,2,1.4,,2.2,0.1
2021,12,14,00:00,UTC,6.8,-1,2.6,,3.6,1.6
2021,12,15,00:00,UTC,0.6,-1,3.2,,5,0.3
2021,12,16,00:00,UTC,-1,-1,3.4,,5,2.8
2021,12,17,00:00,UTC,1.2,-1,1.1,,3.6,-0.7
2021,12,18,00:00,UTC,1.1,-1,2.7,,4.4,-0.7
2021,12,19,00:00,UTC,0.1,-1,0.4,,4.4,-1.3
2021,12,20,00:00,UTC,-1,-1,-8.2,,-1.3,-10.4
2021,12,21,00:00,UTC,-1,-1,-11.5,,-7.4,-12.8
2021,12,22,00:00,UTC,0.8,-1,-11.3,,-8.6,-13.1
2021,12,23,00:00,UTC,1.8,3,-1.5,,-0.4,-12.1
2021,12,24,00:00,UTC,-1,6,-10.3,,-0.5,-14.1
2021,12,25,00:00,UTC,-1,4,-11.3,,-7.6,-15.6
2021,12,26,00:00,UTC,-1,5,-13.6,,-7.5,-16.1
2021,12,27,00:00,UTC,-1,5,-14.7,,-11.3,-17.1
2021,12,28,00:00,UTC,-1,5,-6.6,,-1.3,-18.2